Header2,header3,header4
 BON,51,SRIP ANNIVERSARY YR PAST DUE ON DATE INDICATED AS ED. REPORT SAT YR OR UNSAT YR VIA TTC 901.
 BON,50,SRIP ANNIVERSARY YR DUE ON DATE INDICATED AS ED. REPORT SAT YR OR UNSAT YR VIA TTC 901.
 CCH,M,INVALID MAJOR COLLEGE SUBJ RPTD. INDICATES DID ATTEND COLLEGE
 CFD,N,NO ENTRY REQUIRED FOR BLOCK #16 (DATE OBL INCURRED) ON MALE WITH NO PRIOR SERVICE OR WM.
 CHB,G,THIRD DIGIT OF HIGHEST GRADE COMPLETED NOT VALID CODE.
 CS0,AY,"""COMPOSITE SCORE NOT COMPUTED"
 CS0,AZ,"""COMPOSITE SCORE NOT COMPUTED"
 CS0,CF,COMPOSITE SCORE CANNOT BE COMPUTED.  CBT FITNESS FIELDS CONTAIN ZEROS/INVALID DATE.
 CS0,HM,MBR AFADBD EQUALS ZEROS.  COMPOSITE SCORE NOT GENERATED.
 CS0,HO,SCORE NOT COMPUTED.  CRCR CERTIFICATION DATE IS ZEROS.  CORRECT AND RESUBMIT.
 CS0,AW,COMPOSITE SCORE NOT COMPUTED.  RIFLE DATA CONTAINS ZEROS/INVALID DATA.
 CS0,AA,COMPOSITE SCORE HAS BEEN SUCCESSFULLY COMPUTED.
 CS0,AX,"""COMPOSITE SCORE NOT COMPUTED"
 EFT,1,MBR NOT ENROLLED IN DD/EFT. ENROLL SNM IN DD PER ALMAR 201-91.
 FGU,AA,"""MBR DOES NOT HAVE A W2 ON FILE FOR THE RPTD ADJUST DATE"
 FSG,AB,MEMBER'S RECORD INDICATES NO 801 RMK ON FILE FOR MEMBER'S SGLI.  TRANSACTION COULD NOT BUILD AN 804 RMK FOR SPOUSE SGLI.
 FSG,AC,ERROR OCCURRED DURING SPOUSE SGLI TABLE READ.  TRANSACTION COULD NOT BUILD AN 804 RMK FOR SPOUSE SGLI.
 FSG,PF,COMPLETE FSGLI DEDUCTION/CREDIT HISTORY NOT AVAILABLE.  MANUAL FSGLI ADJUSTMENTS MAY BE REQUIRED.
 FSG,AF,SPOUSE SGLI COVERAGE IS CAPPED NOT TO EXCEED THE COVERAGE AMOUNT FOR MEMBER'S SGLI.
 FSG,AG,THE DATE COMMENCING SPOUSE SGLI COVERAGE HAS BEEN ADJUSTED.  CANNOT BE PRIOR TO MEMBER'S COVERAGE OR TABLE EFFECTIVE DATE.
 FSG,AH,UNABLE TO LOCATE AN 805 REMARK.  SPOUSE SGLI NOT UPDATED.
 FSG,AA,MEMBER'S RECORD INDICATES DEPN SPOUSE 150 REMARK NOT ON FILE.  CORRECT MARITAL STATUS OR REPORT DEPN ADD.
 FSG,AD,UNABLE TO LOCATE AN 804 REMARK.  SPOUSE SGLI NOT UPDATED.
 G01,AD,RES ECC LESS THAN REPORTED EAS.  TRANS POSTED WITH EAS EQUAL TO RES ECC.  REPORT EXT/REENL AND CORRECTED EAS.
 G01,24,SRIP BONUS IN EFFECT.  CONTACT HQMC(RAP) FOR APPROVAL AUTHORITY TO RETAIN BONUS ENTITLEMENT.
 G01,ZH,FORCE JOINED TO OCC.
 G01,ZF,FORCE JOINED TO OCS.
 G01,ZE,FORCE JOINED TO PLC.  VERIFY EAS/ECC AND RPT CHG IF NECESSARY.
 G01,ZD,FORCE JOINED TO TBS.
 G01,ZC,FORCE JOINED TO TBS.  VERIFY EAS/ECC AND RPT CHG IF NECESSARY.
 G01,ZB,FORCE JOINED TO IADT.
 G01,ZA,FORCE JOINED TO IADT.  VERIFY EAS/ECC AND RPT CHG IF NECESSARY.
 G01,GA,PROCESSING OF ADMIN STATUS CHG HAS BEEN COMPLETED IN MCTFS.
 G01,AF,AR/EAD MARINES MUST APPLY ACT DU MGIB.
 G04,AA,"""PRIMARY LAW IS ZEROS"
 G09,AE,"""RETRO DROP PROCESSED ON MEMBER"
 G09,AD,MEMBER DOES NOT HAVE A PAY GROUP REMARK FOR REPORTED DATE.  VERIFY DATE AND IF VALID CONTACT MISSO.
 G09,AB,MEMBER DOES NOT HAVE CONTINUOUS PAY GRADE FOR DATE REPORTED.  VERIFY AND CORRECT RECORD.
 G09,DB,"""RIRP WAS STOPPED DUE TO CHG IN STATUS"
 G09,AA,MEMBER DOES NOT HAVE CONTINUOUS PAY REMARKS FOR DATE REPORTED.  VERIFY AND CORRECT RECORD.
 G14,BE,VERIFY POSSIBLE ENTITLEMENT TO ACTIVE DUTY FLPB FOR PART OF PERIOD.  IF CREDIT NECESSARY CONTACT DFAS FOR ASSISTANCE.
 G14,BF,VERIFY POSSIBLE ENTITLEMENT TO RESERVE FLPB FOR PART OF PERIOD.  IF CREDIT NECESSARY CONTACT DFAS FOR ASSISTANCE.
 G16,AA,"""REPORTED SCHOOL ATTENDING REFLECTS SCHOOL AS BEING COMPLETE"
 G24,AA,NUMBER OF LEGAL TAX RESIDENT CODES CANNOT EXCEED 4 PER YR.  REPORT ANY PREVIOUS STATE CODE.
 G26,DD,ED FOR PANDL ADJUSTED TO DATE INDICATED.  ADJUSTMENTS WILL BE NECESSARY FOR THE PRD PRIOR TO THE ADJUSTED ED.
 G30,CB,PROBLEM WITH OPFLY CLOCK. CHANGE IN FLIGHT STATUS RESULTED IN NEGATIVE BALANCE OF OPFLY TIME. CORRECT CLOCK.
 G30,AA,DIFOP STARTED PRIOR TO DIFDEN DATES. DIFOP TIME TOTAL MAY REQUIRE ADJUSTMENT. RESEARCH AND CONTACT MMOA IF NECESSARY.
 G30,KA,"""MR DOES NOT CONTAIN AVN SVC ENTRY DT.  IF MISSING ERRONEOUSLY"
 G30,KC,RPTD ED IS PRIOR TO CADBD.  ED ADJUSTED TO THE CADBD.  FO NEEDS TO REVIEW/ADJUST AVIP ENTL PRIOR TO CADBD.
 G30,KB,TRANSACTION PROCESSED SUCCESSFULLY.  TTC 130 WILL SYSTEM-GENERATE IN NEXT CYCLE AND POST TO MBR'S RECORD.
 G42,12,MANUAL ADJUSTMENT NECESSARY FOR THE PERIOD PRIOR TO THE OLD RATE ON TABLE 12.
 G44,LR,"""COMPONENT CODE DOES NOT EQUAL '11'"
 G47,DI,RIRP WAS TERMINATED YYYYMMDD DUE TO BASIC PAY CHANGE.
 G49,RK,"""CZTE LSL PAYMENT MADE"
 G55,BE,DELETE AS ERRONEOUS LSL CREDIT CANNOT PROCESS.  MR 611 REMARK DOES NOT REFLECT LSL FOR EFFECTIVE DATE REPORTED.
 G55,BH,DEL LSL PROCESSED. CORRECT TOTAL LSL CANNOT BE DETERMINED DUE TO TTC 541 LSL OVERLAY REPORTED. REVIEW FOR NECESSARY ADJUSTMENT.
 G55,BA,LEAVE PERIOD PRIOR TO EARLIEST LV BAL RMK ON FILE PROCESSED AND REDUCED THE LEAVE BALANCE.
 G77,CB,RETROACTIVE ADJUSTMENT TO COMBAT LEAVE PERIOD UNABLE TO ESTABLISH COMBAT LEAVE BALANCE.  REVIEW AND RESUBMIT CORRECT CLB.
 GS0,HR,"""NOT SELECTED"
 GS0,HS,MEMBER ALREADY SELECTED FOR PROMOTION FROM A PREVIOUS QUARTER. RESEARCH AND CORRECT OR CONTACT MISSO.
 GS0,HI,NO MATCH FOUND BETWEEN MOS AND CUTTING SCORE TABLE.  VERIFY MOS WITH MISSO.
 GS0,HJ,"""NOT SELECTED"
 GS0,HM,AFADBD EQUALS ZEROES.  MEMBER NOT CONSIDERED FOR PROMOTION.
 GS0,HQ,PROMOTION STATUS FOR THIS MEMBER IS CURRENTLY RESTRICTED.
 GS1,AA,MEMBERS SENIORITY NUMBER CHANGED TO EQUAL 9999.9.
 GSA,GG,MEMBER IN RESTRICTED PROMOTION STATUS.  AUTO PROMOTION TO NEXT HIGHER GRADE DID NOT PROCESS.
 ICR,CL,MEMBER IN COMBAT ZONE TAX EXCLUSION STATUS WITH NO CORRESPONDING IDP/HFP. VERIFY AND REPORT IDP/HFP IF ENTITLED.
 ICR,AH,UNLIQUIDATED TRAVEL ADVANCE. RESEARCH AND TAKE THE APPROPRIATE ACTION.
 ICR,D7,"""TUITION ASSISTANCE LIQUIDATION SUSPENDED MORE THAN 210 DAYS.  REVIEW AND TAKE APPROPRIATE ACTION"
 ICR,DB,MBR IN RECEIPT OF FSAR THROUGH PERM CHAN OF STATION. CHECKAGE REQD FOR PROCEED AND DELAY.
 ICR,EA,MARINE IS HOME AWAITING PHYSICAL EVALUATION BOARD. REVIEW RECORD FOR ENTITLEMENT TO BAH AND BAS.
 ICR,EC,MR ECC DATE IS ZEROS.  REPORT VALID ECC DATE.
 ICR,FA,PAYMENT OPTION ELECTION CODE INDICATES MBR HAS BEEN SEPARATED BUT DROP ENTRY HAS NOT BEEN REPORTED. (PRIUM).
 ICR,FH,"""MEMBER IS IN SUSPENDED PAY STATUS.  REENL"
 ICR,GA,MR INDICATES DEPENDENTS LOCATION HAS CHANGED. CHECK ENTITLEMENT TO FSA AND RED FOR PROPER DEPENDENT ADDRESS. (PRIUM).
 ICR,GG,VERIFY MEMBER'S STATUS AND REPORT NEW EAS IF APPLICABLE.
 ICR,HH,MASTER RECORD PAY STATUS INDICATES BEYOND ECC.  REQUIRES SEPARATION OR UPDATE OF ECC.
 ICR,LA,MBR REACCESSED. NO CURRENT/OPEN CRA 965 RMK. REPORT RCRA/CRA TRANSACTION. (PRIUM).
 ICR,LT,TL NOT REPORTED FOR PERIOD SHOWN.
